Datetime,BTC-USD,ETH-USD,Spread,Z_Score,Position,Spread_Change,Strategy_PnL_Gross,Trades,Cost,Strategy_PnL_Net,Cumulative_PnL
2026-01-16 14:18:00+00:00,95350.953125,3301.4296875,-731.0106445368465,0.030906377522001333,0,0.5453938063706119,0.0,0.0,0.0,0.0,-371.5754470856136
2026-01-16 14:19:00+00:00,95351.3359375,3302.642578125,-729.8139432472858,0.8238389925501491,0,1.1967012895606786,0.0,0.0,0.0,0.0,-371.5754470856136
2026-01-16 14:20:00+00:00,95351.90625,3303.505859375,-728.9747808031448,1.3440496915707452,0,0.8391624441410386,0.0,0.0,0.0,0.0,-371.5754470856136
2026-01-16 14:21:00+00:00,95387.515625,3305.015380859375,-728.9711979092353,1.3042305189408359,0,0.003582893909424456,0.0,0.0,0.0,0.0,-371.5754470856136
2026-01-16 14:22:00+00:00,95382.015625,3304.645263671875,-729.1087172977691,1.1763633911452058,0,-0.13751938853374668,-0.0,0.0,0.0,-0.0,-371.5754470856136
2026-01-16 14:23:00+00:00,95367.65625,3305.206298828125,-727.9404168652409,1.8369525546594914,0,1.1683004325282127,0.0,0.0,0.0,0.0,-371.5754470856136
2026-01-16 14:24:00+00:00,95348.2265625,3304.8017578125,-727.523266508666,1.996454176266894,0,0.4171503565748935,0.0,0.0,0.0,0.0,-371.5754470856136
2026-01-16 14:25:00+00:00,95350.40625,3304.539306640625,-727.8778977741654,1.7063164127411674,0,-0.3546312654993926,-0.0,0.0,0.0,-0.0,-371.5754470856136
2026-01-16 14:26:00+00:00,95375.6171875,3305.49951171875,-727.9838760728358,1.577005064537242,0,-0.10597829867037944,-0.0,0.0,0.0,-0.0,-371.5754470856136
2026-01-16 14:27:00+00:00,95447.125,3308.1044921875,-728.4029973852466,1.280917685300265,0,-0.4191213124108799,-0.0,0.0,0.0,-0.0,-371.5754470856136
2026-01-16 14:28:00+00:00,95498.703125,3308.994384765625,-729.6943699616313,0.49661729604602134,0,-1.2913725763846742,-0.0,0.0,0.0,-0.0,-371.5754470856136
2026-01-16 14:29:00+00:00,95530.140625,3309.110595703125,-730.9076668977677,-0.23853622255933984,0,-1.2132969361364303,-0.0,0.0,0.0,-0.0,-371.5754470856136
2026-01-16 14:30:00+00:00,95635.9140625,3311.10107421875,-733.3904008824311,-1.6821244068084082,0,-2.482733984663355,-0.0,0.0,0.0,-0.0,-371.5754470856136
2026-01-16 14:31:00+00:00,95611.3515625,3310.981689453125,-732.4710250231278,-1.1352982450740576,0,0.9193758593032726,0.0,0.0,0.0,0.0,-371.5754470856136
2026-01-16 14:32:00+00:00,95483.390625,3307.78369140625,-730.2574899034298,0.1519247515737159,0,2.213535119698008,0.0,0.0,0.0,0.0,-371.5754470856136
2026-01-16 14:33:00+00:00,95427.2578125,3302.536865234375,-733.1304308685267,-1.500595806269297,0,-2.872940965096859,-0.0,0.0,0.0,-0.0,-371.5754470856136
2026-01-16 14:34:00+00:00,95564.7890625,3302.09375,-739.3898126554595,-4.241389714561383,1,-6.259381786932863,-0.0,1.0,3.30209375,-3.30209375,-374.87754083561356
2026-01-16 14:35:00+00:00,95563.0703125,3303.094482421875,-738.3163934214076,-3.3291507435604144,1,1.0734192340519257,1.0734192340519257,0.0,0.0,1.0734192340519257,-373.80412160156163
2026-01-16 14:36:00+00:00,95480.265625,3302.256103515625,-735.6529199537331,-2.065525862814648,1,2.663473467674521,2.663473467674521,0.0,0.0,2.663473467674521,-371.1406481338871
2026-01-16 14:37:00+00:00,95352.0078125,3297.89599609375,-734.5889392142053,-1.5741506781973447,1,1.0639807395277785,1.0639807395277785,0.0,0.0,1.0639807395277785,-370.07666739435933
2026-01-16 14:39:00+00:00,95426.609375,3299.114501953125,-736.52537139791,-2.2528605611044354,1,-1.93643218370471,-1.93643218370471,0.0,0.0,-1.93643218370471,-372.01309957806404
2026-01-16 14:40:00+00:00,95294.8828125,3294.8974609375,-735.1716290493746,-1.6509235321021873,1,1.3537423485354338,1.3537423485354338,0.0,0.0,1.3537423485354338,-370.6593572295286
2026-01-16 14:41:00+00:00,95293.953125,3295.634765625,-734.3950074043787,-1.3124949350491115,1,0.7766216449958847,0.7766216449958847,0.0,0.0,0.7766216449958847,-369.8827355845327
2026-01-16 14:42:00+00:00,95341.015625,3296.80224609375,-735.2178240108738,-1.5889518256721116,1,-0.8228166064950528,-0.8228166064950528,0.0,0.0,-0.8228166064950528,-370.7055521910278
2026-01-16 14:43:00+00:00,95252.9765625,3295.328857421875,-732.9679959262858,-0.7279737206680881,1,2.249828084587989,2.249828084587989,0.0,0.0,2.249828084587989,-368.4557241064398
2026-01-16 14:44:00+00:00,95241.203125,3294.663330078125,-733.1356186066237,-0.7793813713579165,1,-0.1676226803378995,-0.1676226803378995,0.0,0.0,-0.1676226803378995,-368.6233467867777
2026-01-16 14:45:00+00:00,95221.1328125,3293.950927734375,-732.9992372209076,-0.716642504649689,1,0.1363813857160494,0.1363813857160494,0.0,0.0,0.1363813857160494,-368.48696540106164
2026-01-16 14:46:00+00:00,95412.65625,3301.1484375,-733.9013510939985,-1.022509287404428,1,-0.9021138730909115,-0.9021138730909115,0.0,0.0,-0.9021138730909115,-369.38907927415255
2026-01-16 14:47:00+00:00,95349.9296875,3299.538818359375,-732.858231984766,-0.6179398896655527,1,1.0431191092325207,1.0431191092325207,0.0,0.0,1.0431191092325207,-368.34596016492003
2026-01-16 14:48:00+00:00,95338.65625,3299.165771484375,-732.7545194508057,-0.5655147302229003,1,0.10371253396033353,0.10371253396033353,0.0,0.0,0.10371253396033353,-368.2422476309597
2026-01-16 14:49:00+00:00,95374.34375,3300.65576171875,-732.7737717529044,-0.5572763134448694,1,-0.019252302098720975,-0.019252302098720975,0.0,0.0,-0.019252302098720975,-368.2614999330584
2026-01-16 14:50:00+00:00,95254.4921875,3294.939208984375,-733.4217409163416,-0.7767353550185471,1,-0.6479691634372102,-0.6479691634372102,0.0,0.0,-0.6479691634372102,-368.9094690964956
2026-01-16 14:51:00+00:00,95239.65625,3294.6064453125,-733.1270852412895,-0.6590013888582973,1,0.29465567505212675,0.29465567505212675,0.0,0.0,0.29465567505212675,-368.6148134214435
2026-01-16 14:52:00+00:00,95236.7578125,3293.416015625,-734.1949385318912,-1.0268852003540456,1,-1.0678532906017608,-1.0678532906017608,0.0,0.0,-1.0678532906017608,-369.68266671204526
2026-01-16 14:53:00+00:00,95249.59375,3294.250732421875,-733.9030600641372,-0.8970321019794887,1,0.2918784677540316,0.2918784677540316,0.0,0.0,0.2918784677540316,-369.39078824429123
2026-01-16 14:54:00+00:00,95256.3671875,3294.64697265625,-733.7932719486598,-0.833147466003235,1,0.10978811547738587,0.10978811547738587,0.0,0.0,0.10978811547738587,-369.28100012881384
2026-01-16 14:55:00+00:00,95272.984375,3295.141357421875,-734.0016364989451,-0.8790476467035079,1,-0.208364550285296,-0.208364550285296,0.0,0.0,-0.208364550285296,-369.48936467909914
2026-01-16 14:56:00+00:00,95317.9296875,3296.279296875,-734.764457184247,-1.1152254190279534,1,-0.7628206853019037,-0.7628206853019037,0.0,0.0,-0.7628206853019037,-370.25218536440104
2026-01-16 14:57:00+00:00,95274.2265625,3295.380126953125,-733.8153997092231,-0.7520554084899195,1,0.949057475023892,0.949057475023892,0.0,0.0,0.949057475023892,-369.30312788937715
2026-01-16 14:58:00+00:00,95223.375,3294.5302734375,-732.5147147682133,-0.2724142118897748,0,1.3006849410098766,1.3006849410098766,1.0,3.2945302734375,-1.9938453324276235,-371.29697322180476
2026-01-16 15:00:00+00:00,95151.796875,3293.033447265625,-730.9844656075202,0.2836787299083552,0,1.5302491606930744,0.0,0.0,0.0,0.0,-371.29697322180476
2026-01-16 15:02:00+00:00,95100.796875,3290.3544921875,-731.506604731595,0.10993936272919295,0,-0.5221391240747835,-0.0,0.0,0.0,-0.0,-371.29697322180476
2026-01-16 15:03:00+00:00,95109.203125,3289.07421875,-733.1423827595604,-0.458522478814736,0,-1.6357780279654435,-0.0,0.0,0.0,-0.0,-371.29697322180476
2026-01-16 15:04:00+00:00,95175.546875,3294.64404296875,-730.37826949084,0.57022715817648,0,2.7641132687203935,0.0,0.0,0.0,0.0,-371.29697322180476
2026-01-16 15:05:00+00:00,95216.0703125,3295.154052734375,-731.5820165195864,0.1506264709679022,0,-1.2037470287464203,-0.0,0.0,0.0,-0.0,-371.29697322180476
2026-01-16 15:07:00+00:00,95324.078125,3299.248291015625,-732.0554835944549,0.0024985562163731267,0,-0.4734670748684948,-0.0,0.0,0.0,-0.0,-371.29697322180476
2026-01-16 15:08:00+00:00,95399.6171875,3301.5771484375,-732.921211567756,-0.3062911950118997,0,-0.865727973301091,-0.0,0.0,0.0,-0.0,-371.29697322180476
2026-01-16 15:09:00+00:00,95536.4609375,3304.3818359375,-735.9037158954434,-1.4628878886592405,0,-2.9825043276873657,-0.0,0.0,0.0,-0.0,-371.29697322180476
